profession,city,country
doctor,Vienna,Cyprus
developer,Lobamba,United Kingdom
developer,Bishkek,Bahrain
developer,Perth,Viet Nam
police officer,Naples,Dominica
firefighter,Aarhus,Latvia
firefighter,Baltimore,Bulgaria
worker,Jersey City,Ukraine
doctor,Serekunda,Gibraltar
doctor,Jeddah,Latvia
firefighter,Islamabad,Faroe Islands
firefighter,Auckland,RWANDA
doctor,Philadelphia,Marshall Islands
firefighter,Johannesburg,Haiti
worker,Bogor,Congo
police officer,Tbilisi,Puerto Rico
developer,Huế,Czech Republic
worker,Shenzhen,"Tanzania, United Republic of"
worker,Batticaloa,Namibia
police officer,Mendoza,Barbados
